date,instrument,price_at_emission,signal_type,reason,follow_through_pct,scored_date
2026-07-01,HCLTECH.NS,1034.2,POSITIVE,"Tech / AI | news: ai, cloud | ▼23.6% vs baseline",32.02,2026-08-11
2026-07-01,GC=F,4035.1,MACRO,Gold +92.2% vs baseline — extreme risk-off; defensive posture,9.85,2026-08-11
2026-07-06,HAL.NS,4440.6,POSITIVE,Defense / Geopolitics | news: war | ▲21.0% vs baseline,10.55,2026-08-11
2026-07-06,GC=F,4157.0,MACRO,Gold +98.0% vs baseline — extreme risk-off; defensive posture,6.63,2026-08-11
2026-07-16,MCX.NS,2815.5,POSITIVE (NSE),"Safe Haven / Gold | news: gold, silver | ▲143.8% vs baseline | price: ₹2,815.50",2.82,2026-08-11
2026-07-16,AAPL,331.39,POSITIVE (US),"Tech / AI | news: ai, chip | ▲13.8% vs baseline | price: $331.39",-7.74,2026-08-11
2026-08-06,MCX.NS,2640.0,POSITIVE (NSE),"Safe Haven / Gold | news: gold, silver | ▲128.6% vs baseline | price: ₹2,640.00",9.66,2026-08-11
2026-08-06,MSFT,497.06,POSITIVE (US),Tech / AI | news: ai | ▲28.4% vs baseline | price: $497.06,1.18,2026-08-11
2026-08-07,ICICIBANK.NS,1421.0,PICK (NSE),Banking & Rates · 5 news signals · +17.2% vs Apr'25,0.61,2026-08-11
2026-08-07,HAL.NS,4910.0,PICK (NSE),Defense / Geopolitics · 1 news signal · +33.8% vs Apr'25,-0.02,2026-08-11
2026-08-07,CIPLA.NS,1463.8,PICK (NSE),Pharma / Healthcare · 2 news signals · +22.4% vs Apr'25,-0.05,2026-08-11
2026-08-07,JPM,356.3,PICK (US),Banking & Rates · 5 news signals · +49.6% vs Apr'25,1.65,2026-08-11
2026-08-07,GS,1032.58,PICK (US),Banking & Rates · 5 news signals · +91.8% vs Apr'25,0.47,2026-08-11
2026-08-07,BAC,63.0,PICK (US),Banking & Rates · 5 news signals · +43.5% vs Apr'25,1.66,2026-08-11
2026-08-07,HSBA.L,1544.2,PICK (EU),Banking & Rates · 5 news signals · +97.5% vs Apr'25,-1.3,2026-08-11
2026-08-07,BARC.L,524.0,PICK (EU),Banking & Rates · 5 news signals · +88.5% vs Apr'25,-1.53,2026-08-11
2026-08-07,NOVN.SW,126.84,PICK (EU),Pharma / Healthcare · 2 news signals · +45.0% vs Apr'25,-0.77,2026-08-11
2026-08-07,KOTAKBANK.NS,390.75,PICK (NSE),Banking & Rates · 6 news signals · +9.7% vs Apr'25,0.55,2026-08-11
2026-08-07,SIE.DE,280.2,PICK (EU),Auto / EV · 4 news signals · +30.3% vs Apr'25,0.02,2026-08-11
2026-08-11,TITAN.NS,5128.0,PICK (NSE),Safe Haven / Gold · 2 news signals · +26.1% vs Apr'25,,
2026-08-11,HAL.NS,4909.0,PICK (NSE),Defense / Geopolitics · 1 news signal · +33.7% vs Apr'25,,
2026-08-11,ICICIBANK.NS,1429.6,PICK (NSE),Banking & Rates · 4 news signals · +17.9% vs Apr'25,,
2026-08-11,JPM,362.19,PICK (US),Banking & Rates · 4 news signals · +52.0% vs Apr'25,,
2026-08-11,GS,1037.45,PICK (US),Banking & Rates · 4 news signals · +92.7% vs Apr'25,,
2026-08-11,BAC,64.05,PICK (US),Banking & Rates · 4 news signals · +45.9% vs Apr'25,,
2026-08-11,SIE.DE,280.25,PICK (EU),Auto / EV · 4 news signals · +30.3% vs Apr'25,,
2026-08-11,HSBA.L,1524.2,PICK (EU),Banking & Rates · 4 news signals · +94.9% vs Apr'25,,
2026-08-11,BARC.L,516.0,PICK (EU),Banking & Rates · 4 news signals · +85.6% vs Apr'25,,
